player_name,team,sport,birth_date,birth_location,active_status,gender,height_in_cm,weight_in_lb,team_rank,conference,division,player_rank,efficiency_nerd,efficiency_nf_eff,efficiency_fantasy,statistics_mpg,statistics_ppg,statistics_rpg,statistics_apg
Talen Horton-Tucker,Utah Jazz,Basketball,2000-11-25,"Chicago, Illinois",True,M,193.0,234.0,24,Western Conference,Northwest,468,-2.4,-2.0,-5.51,19.1,9.7,2.3,3.5
Saddiq Bey,Atlanta Hawks,Basketball,1999-04-09,"Charlotte, North Carolina, U.S.",True,M,200.99999999999997,215.0,21,Eastern Conference,Southeast,468,-2.4,-0.9,-0.66,32.7,13.7,6.5,1.5
Blake Wesley,San Antonio Spurs,Basketball,2003-03-16,"South Bend, Indiana, U.S.",True,M,191.0,185.0,26,Western Conference,Southwest,468,-2.4,-2.5,-7.82,13.6,4.0,1.4,2.7
Peyton Watson,Denver Nuggets,Basketball,2002-09-11,"Beverly Hills, California, U.S.",True,M,200.99999999999997,200.0,5,Western Conference,Northwest,468,-2.4,-1.3,-3.19,18.2,6.6,3.1,1.0
Patrick Beverley,Milwaukee Bucks,Basketball,1988-07-12,"Chicago, Illinois",True,M,185.0,180.0,7,Eastern Conference,Central,474,-2.5,-1.4,-4.26,19.7,5.9,3.1,2.8
Davion Mitchell,Sacramento Kings,Basketball,1998-09-05,"Hinesville, Georgia, U.S.",True,M,188.0,205.0,19,Western Conference,Pacific,474,-2.5,-1.9,-7.17,14.7,5.0,1.3,1.8
Tre Mann,Charlotte Hornets,Basketball,2001-02-03,"Gainesville, Florida, U.S.",True,M,191.0,178.0,30,Eastern Conference,Southeast,474,-2.5,-2.3,-6.34,23.0,8.5,3.6,3.7
Dalano Banton,Portland Trail Blazers,Basketball,1999-11-07,"Toronto, Ontario, Canada",True,M,206.0,204.0,29,Western Conference,Northwest,474,-2.5,-2.2,-6.46,18.0,9.4,3.2,2.1
Rayan Rupert,Portland Trail Blazers,Basketball,2004-05-31,"Strasbourg, France",True,M,198.0,185.0,29,Western Conference,Northwest,474,-2.5,-4.1,-8.84,13.9,3.6,2.1,1.4
Evan Fournier,Detroit Pistons,Basketball,1992-10-29,"Saint-Maurice, France",True,M,200.99999999999997,205.0,27,Eastern Conference,Central,480,-2.6,-4.2,-6.91,17.2,6.3,1.8,1.5
Mike Muscala,Oklahoma City Thunder,Basketball,1991-07-01,"St. Louis Park, Minnesota",True,M,208.0,240.0,3,Western Conference,Northwest,480,-2.6,-3.5,-5.31,11.5,3.2,2.3,0.7
Cedi Osman,San Antonio Spurs,Basketball,1995-04-08,"Ohrid, Macedonia",True,M,200.99999999999997,230.0,26,Western Conference,Southwest,480,-2.6,-1.6,-3.80,17.6,6.8,2.5,1.7
Pat Connaughton,Milwaukee Bucks,Basketball,1993-01-06,"Arlington, Massachusetts",True,M,196.0,209.0,7,Eastern Conference,Central,480,-2.6,-1.3,-3.20,22.1,5.7,3.3,2.1
Kris Dunn,Utah Jazz,Basketball,1994-03-18,"New London, Connecticut",True,M,193.0,205.0,24,Western Conference,Northwest,480,-2.6,-1.6,-3.25,18.9,5.4,2.9,3.8
Coby White,Chicago Bulls,Basketball,2000-02-16,"Goldsboro, North Carolina",True,M,196.0,195.0,20,Eastern Conference,Central,480,-2.6,-0.7,1.19,36.4,19.1,4.6,5.1
Max Strus,Cleveland Cavaliers,Basketball,1996-03-28,"Hickory Hills, Illinois, USA",True,M,196.0,215.0,9,Eastern Conference,Central,480,-2.6,-1.0,-1.18,32.0,12.3,4.7,3.8
Josh Green,Dallas Mavericks,Basketball,2000-11-16,"Sydney, New South Wales, Australia",True,M,196.0,200.0,11,Western Conference,Southwest,480,-2.6,-1.4,-4.91,26.6,8.5,3.2,2.3
Malachi Flynn,Detroit Pistons,Basketball,1998-05-10,"Tacoma, Washington, U.S.",True,M,185.0,175.0,27,Eastern Conference,Central,480,-2.6,-2.6,-6.70,12.3,5.3,1.7,1.8
Anthony Black,Orlando Magic,Basketball,2004-01-20,"Duncanville, Texas, U.S.",True,M,200.99999999999997,200.0,12,Eastern Conference,Southeast,480,-2.6,-1.8,-7.09,17.4,4.7,2.1,1.4
Jordan Hawkins,New Orleans Pelicans,Basketball,2002-04-29,"Gaithersburg, Maryland, U.S.",True,M,196.0,190.0,4,Western Conference,Southwest,480,-2.6,-1.7,-5.99,17.5,7.9,2.2,1.1
Klay Thompson,Golden State Warriors,Basketball,1990-02-08,"Los Angeles, California",True,M,198.0,215.0,15,Western Conference,Pacific,493,-2.8,-1.0,1.43,29.7,17.4,3.3,2.3
Andrew Wiggins,Golden State Warriors,Basketball,1995-02-23,"Toronto, Ontario",True,M,200.99999999999997,197.0,15,Western Conference,Pacific,493,-2.8,-1.2,-2.65,27.0,13.0,4.5,1.7
Royce O'Neale,Phoenix Suns,Basketball,1993-06-05,"Killeen, Texas",True,M,193.0,226.0,10,Western Conference,Pacific,493,-2.8,-1.2,-0.52,24.7,7.7,4.8,2.8
Keldon Johnson,San Antonio Spurs,Basketball,1999-11-11,"Chesterfield, Virginia",True,M,196.0,220.0,26,Western Conference,Southwest,493,-2.8,-1.1,-0.22,29.6,15.8,5.5,2.9
Santi Aldama,Memphis Grizzlies,Basketball,2001-01-10,,True,M,213.0,224.0,25,Western Conference,Southwest,493,-2.8,-1.4,-2.51,26.5,10.7,5.8,2.3
Gordon Hayward,Oklahoma City Thunder,Basketball,1990-03-23,"Indianapolis, Indiana",True,M,200.99999999999997,225.0,3,Western Conference,Northwest,498,-2.9,-1.9,-4.71,24.5,9.7,3.5,3.2
Buddy Hield,Philadelphia 76ers,Basketball,1992-12-17,"Freeport, Bahamas",True,M,193.0,220.0,13,Eastern Conference,Atlantic,498,-2.9,-1.1,0.67,26.0,12.1,3.2,2.9
